suite	task_id	task_number	prompt	bddl_language	symbolic_goal	bddl_path
libero_90	0	1	KITCHEN SCENE10 close the top drawer of the cabinet	close the top drawer of the cabinet	(And (Close wooden_cabinet_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet.bddl
libero_90	1	2	KITCHEN SCENE10 close the top drawer of the cabinet and put the black bowl on top of it	close the top drawer of the cabinet and put the black bowl on top of it	(And (Close wooden_cabinet_1_top_region) (On akita_black_bowl_1 wooden_cabinet_1_top_side))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet_and_put_the_black_bowl_on_top_of_it.bddl
libero_90	2	3	KITCHEN SCENE10 put the black bowl in the top drawer of the cabinet	put the black bowl in the top drawer of the cabinet	(And (In akita_black_bowl_1 wooden_cabinet_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE10_put_the_black_bowl_in_the_top_drawer_of_the_cabinet.bddl
libero_90	3	4	KITCHEN SCENE10 put the butter at the back in the top drawer of the cabinet and close it	put the butter at the back in the top drawer of the cabinet and close it	(And (In butter_2 wooden_cabinet_1_top_region) (Close wooden_cabinet_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE10_put_the_butter_at_the_back_in_the_top_drawer_of_the_cabinet_and_close_it.bddl
libero_90	4	5	KITCHEN SCENE10 put the butter at the front in the top drawer of the cabinet and close it	put the butter at the front in the top drawer of the cabinet and close it	(And (In butter_1 wooden_cabinet_1_top_region) (Close wooden_cabinet_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE10_put_the_butter_at_the_front_in_the_top_drawer_of_the_cabinet_and_close_it.bddl
libero_90	5	6	KITCHEN SCENE10 put the chocolate pudding in the top drawer of the cabinet and close it	put the chocolate pudding in the top drawer of the cabinet and close it	(And (In chocolate_pudding_1 wooden_cabinet_1_top_region) (Close wooden_cabinet_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE10_put_the_chocolate_pudding_in_the_top_drawer_of_the_cabinet_and_close_it.bddl
libero_90	6	7	KITCHEN SCENE1 open the bottom drawer of the cabinet	open the bottom drawer of the cabinet	(And (Open wooden_cabinet_1_bottom_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet.bddl
libero_90	7	8	KITCHEN SCENE1 open the top drawer of the cabinet	open the top drawer of the cabinet	(And (Open wooden_cabinet_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet.bddl
libero_90	8	9	KITCHEN SCENE1 open the top drawer of the cabinet and put the bowl in it	open the top drawer of the cabinet and put the bowl in it	(And (Open wooden_cabinet_1_top_region) (In akita_black_bowl_1 wooden_cabinet_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet_and_put_the_bowl_in_it.bddl
libero_90	9	10	KITCHEN SCENE1 put the black bowl on the plate	put the black bowl on the plate	(And (On akita_black_bowl_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE1_put_the_black_bowl_on_the_plate.bddl
libero_90	10	11	KITCHEN SCENE1 put the black bowl on top of the cabinet	put the black bowl on top of the cabinet	(And (On akita_black_bowl_1 wooden_cabinet_1_top_side))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE1_put_the_black_bowl_on_top_of_the_cabinet.bddl
libero_90	11	12	KITCHEN SCENE2 open the top drawer of the cabinet	open the top drawer of the cabinet	(And (Open wooden_cabinet_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet.bddl
libero_90	12	13	KITCHEN SCENE2 put the black bowl at the back on the plate	put the black bowl at the back on the plate	(And (On akita_black_bowl_3 plate_1))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate.bddl
libero_90	13	14	KITCHEN SCENE2 put the black bowl at the front on the plate	put the black bowl at the front on the plate	(And (On akita_black_bowl_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate.bddl
libero_90	14	15	KITCHEN SCENE2 put the middle black bowl on the plate	put the black bowl in the middle on the plate	(And (On akita_black_bowl_2 plate_1))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate.bddl
libero_90	15	16	KITCHEN SCENE2 put the middle black bowl on top of the cabinet	put the middle black bowl on top of the cabinet	(And (On akita_black_bowl_2 wooden_cabinet_1_top_side))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE2_put_the_middle_black_bowl_on_top_of_the_cabinet.bddl
libero_90	16	17	KITCHEN SCENE2 stack the black bowl at the front on the black bowl in the middle	stack the black bowl at the front on the black bowl in the middle	(And (On akita_black_bowl_1 akita_black_bowl_2))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE2_stack_the_black_bowl_at_the_front_on_the_black_bowl_in_the_middle.bddl
libero_90	17	18	KITCHEN SCENE2 stack the middle black bowl on the back black bowl	stack the black bowl in the middle on the black bowl at the front	(And (On akita_black_bowl_2 akita_black_bowl_3))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE2_stack_the_middle_black_bowl_on_the_back_black_bowl.bddl
libero_90	18	19	KITCHEN SCENE3 put the frying pan on the stove	put the frying pan on the stove	(And (On chefmate_8_frypan_1 flat_stove_1_cook_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE3_put_the_frying_pan_on_the_stove.bddl
libero_90	19	20	KITCHEN SCENE3 put the moka pot on the stove	put the moka pot on the stove	(And (On moka_pot_1 flat_stove_1_cook_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE3_put_the_moka_pot_on_the_stove.bddl
libero_90	20	21	KITCHEN SCENE3 turn on the stove	turn on the stove	(And (Turnon flat_stove_1))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE3_turn_on_the_stove.bddl
libero_90	21	22	KITCHEN SCENE3 turn on the stove and put the frying pan on it	turn on the stove and put the frying pan on it	(And (Turnon flat_stove_1) (On chefmate_8_frypan_1 flat_stove_1_cook_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_frying_pan_on_it.bddl
libero_90	22	23	KITCHEN SCENE4 close the bottom drawer of the cabinet	close the bottom drawer of the cabinet	(And (Close white_cabinet_1_bottom_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet.bddl
libero_90	23	24	KITCHEN SCENE4 close the bottom drawer of the cabinet and open the top drawer	close the bottom drawer of the cabinet and open the top drawer	(And (Close white_cabinet_1_bottom_region) (Open white_cabinet_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet_and_open_the_top_drawer.bddl
libero_90	24	25	KITCHEN SCENE4 put the black bowl in the bottom drawer of the cabinet	put the black bowl in the bottom drawer of the cabinet	(And (In akita_black_bowl_1 white_cabinet_1_bottom_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet.bddl
libero_90	25	26	KITCHEN SCENE4 put the black bowl on top of the cabinet	put the black bowl on top of the cabinet	(And (On akita_black_bowl_1 white_cabinet_1_top_side))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE4_put_the_black_bowl_on_top_of_the_cabinet.bddl
libero_90	26	27	KITCHEN SCENE4 put the wine bottle in the bottom drawer of the cabinet	put the wine bottle in the bottom drawer of the cabinet	(And (In wine_bottle_1 white_cabinet_1_bottom_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet.bddl
libero_90	27	28	KITCHEN SCENE4 put the wine bottle on the wine rack	put the wine bottle on the wine rack	(And (On wine_bottle_1 wine_rack_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack.bddl
libero_90	28	29	KITCHEN SCENE5 close the top drawer of the cabinet	close the top drawer of the cabinet	(And (Close white_cabinet_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE5_close_the_top_drawer_of_the_cabinet.bddl
libero_90	29	30	KITCHEN SCENE5 put the black bowl in the top drawer of the cabinet	put the black bowl in the top drawer of the cabinet	(And (In akita_black_bowl_1 white_cabinet_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet.bddl
libero_90	30	31	KITCHEN SCENE5 put the black bowl on the plate	put the black bowl on the plate	(And (On akita_black_bowl_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE5_put_the_black_bowl_on_the_plate.bddl
libero_90	31	32	KITCHEN SCENE5 put the black bowl on top of the cabinet	put the black bowl on top of the cabinet	(And (On akita_black_bowl_1 white_cabinet_1_top_side))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE5_put_the_black_bowl_on_top_of_the_cabinet.bddl
libero_90	32	33	KITCHEN SCENE5 put the ketchup in the top drawer of the cabinet	put the ketchup in the top drawer of the cabinet	(And (In ketchup_1 white_cabinet_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet.bddl
libero_90	33	34	KITCHEN SCENE6 close the microwave	close the microwave	(And (Close microwave_1))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE6_close_the_microwave.bddl
libero_90	34	35	KITCHEN SCENE6 put the yellow and white mug to the front of the white mug	put the yellow and white mug to the front of the white mug	(And (On white_yellow_mug_1 kitchen_table_porcelain_mug_front_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE6_put_the_yellow_and_white_mug_to_the_front_of_the_white_mug.bddl
libero_90	35	36	KITCHEN SCENE7 open the microwave	open the microwave	(And (Open microwave_1))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE7_open_the_microwave.bddl
libero_90	36	37	KITCHEN SCENE7 put the white bowl on the plate	put the white bowl on the plate	(And (On white_bowl_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE7_put_the_white_bowl_on_the_plate.bddl
libero_90	37	38	KITCHEN SCENE7 put the white bowl to the right of the plate	put the white bowl to the right of the plate	(And (On white_bowl_1 kitchen_table_plate_right_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE7_put_the_white_bowl_to_the_right_of_the_plate.bddl
libero_90	38	39	KITCHEN SCENE8 put the right moka pot on the stove	put the right moka pot on the stove	(And (On moka_pot_1 flat_stove_1_cook_region) (Turnon flat_stove_1))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE8_put_the_right_moka_pot_on_the_stove.bddl
libero_90	39	40	KITCHEN SCENE8 turn off the stove	turn off the stove	(And (Turnoff flat_stove_1))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE8_turn_off_the_stove.bddl
libero_90	40	41	KITCHEN SCENE9 put the frying pan on the cabinet shelf	put the frying pan on the cabinet shelf	(And (In chefmate_8_frypan_1 wooden_two_layer_shelf_1_top_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE9_put_the_frying_pan_on_the_cabinet_shelf.bddl
libero_90	41	42	KITCHEN SCENE9 put the frying pan on top of the cabinet	put the frying pan on top of the cabinet	(And (On chefmate_8_frypan_1 wooden_two_layer_shelf_1_top_side))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE9_put_the_frying_pan_on_top_of_the_cabinet.bddl
libero_90	42	43	KITCHEN SCENE9 put the frying pan under the cabinet shelf	put the frying pan under the cabinet shelf	(And (In chefmate_8_frypan_1 wooden_two_layer_shelf_1_bottom_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE9_put_the_frying_pan_under_the_cabinet_shelf.bddl
libero_90	43	44	KITCHEN SCENE9 put the white bowl on top of the cabinet	put the white bowl on top of the cabinet	(And (On white_bowl_1 wooden_two_layer_shelf_1_top_side))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE9_put_the_white_bowl_on_top_of_the_cabinet.bddl
libero_90	44	45	KITCHEN SCENE9 turn on the stove	turn on the stove	(And (Turnon flat_stove_1))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE9_turn_on_the_stove.bddl
libero_90	45	46	KITCHEN SCENE9 turn on the stove and put the frying pan on it	turn on the stove and put the frying pan on it	(And (Turnon flat_stove_1) (On chefmate_8_frypan_1 flat_stove_1_cook_region))	third_party/libero/libero/libero/bddl_files/libero_90/KITCHEN_SCENE9_turn_on_the_stove_and_put_the_frying_pan_on_it.bddl
libero_90	46	47	LIVING ROOM SCENE1 pick up the alphabet soup and put it in the basket	pick up the alphabet soup and put it in the basket	(And (In alphabet_soup_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE1_pick_up_the_alphabet_soup_and_put_it_in_the_basket.bddl
libero_90	47	48	LIVING ROOM SCENE1 pick up the cream cheese box and put it in the basket	pick up the cream cheese box and put it in the basket	(And (In cream_cheese_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE1_pick_up_the_cream_cheese_box_and_put_it_in_the_basket.bddl
libero_90	48	49	LIVING ROOM SCENE1 pick up the ketchup and put it in the basket	pick up the ketchup and put it in the basket	(And (In ketchup_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE1_pick_up_the_ketchup_and_put_it_in_the_basket.bddl
libero_90	49	50	LIVING ROOM SCENE1 pick up the tomato sauce and put it in the basket	pick up the tomato sauce and put it in the basket	(And (In tomato_sauce_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE1_pick_up_the_tomato_sauce_and_put_it_in_the_basket.bddl
libero_90	50	51	LIVING ROOM SCENE2 pick up the alphabet soup and put it in the basket	pick up the alphabet soup and put it in the basket	(And (In alphabet_soup_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE2_pick_up_the_alphabet_soup_and_put_it_in_the_basket.bddl
libero_90	51	52	LIVING ROOM SCENE2 pick up the butter and put it in the basket	pick up the butter and put it in the basket	(And (In butter_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE2_pick_up_the_butter_and_put_it_in_the_basket.bddl
libero_90	52	53	LIVING ROOM SCENE2 pick up the milk and put it in the basket	pick up the milk and put it in the basket	(And (In milk_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE2_pick_up_the_milk_and_put_it_in_the_basket.bddl
libero_90	53	54	LIVING ROOM SCENE2 pick up the orange juice and put it in the basket	pick up the orange juice and put it in the basket	(And (In orange_juice_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE2_pick_up_the_orange_juice_and_put_it_in_the_basket.bddl
libero_90	54	55	LIVING ROOM SCENE2 pick up the tomato sauce and put it in the basket	pick up the tomato sauce and put it in the basket	(And (In tomato_sauce_1 basket_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE2_pick_up_the_tomato_sauce_and_put_it_in_the_basket.bddl
libero_90	55	56	LIVING ROOM SCENE3 pick up the alphabet soup and put it in the tray	pick up the alphabet soup and put it in the tray	(And (In alphabet_soup_1 wooden_tray_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE3_pick_up_the_alphabet_soup_and_put_it_in_the_tray.bddl
libero_90	56	57	LIVING ROOM SCENE3 pick up the butter and put it in the tray	pick up the butter and put it in the tray	(And (In butter_1 wooden_tray_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE3_pick_up_the_butter_and_put_it_in_the_tray.bddl
libero_90	57	58	LIVING ROOM SCENE3 pick up the cream cheese and put it in the tray	pick up the cream cheese and put it in the tray	(And (In cream_cheese_1 wooden_tray_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE3_pick_up_the_cream_cheese_and_put_it_in_the_tray.bddl
libero_90	58	59	LIVING ROOM SCENE3 pick up the ketchup and put it in the tray	pick up the ketchup and put it in the tray	(And (In ketchup_1 wooden_tray_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE3_pick_up_the_ketchup_and_put_it_in_the_tray.bddl
libero_90	59	60	LIVING ROOM SCENE3 pick up the tomato sauce and put it in the tray	pick up the tomato sauce and put it in the tray	(And (In tomato_sauce_1 wooden_tray_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE3_pick_up_the_tomato_sauce_and_put_it_in_the_tray.bddl
libero_90	60	61	LIVING ROOM SCENE4 pick up the black bowl on the left and put it in the tray	pick up the black bowl on the left and put it in the tray	(And (In akita_black_bowl_1 wooden_tray_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE4_pick_up_the_black_bowl_on_the_left_and_put_it_in_the_tray.bddl
libero_90	61	62	LIVING ROOM SCENE4 pick up the chocolate pudding and put it in the tray	pick up the chocolate pudding and put it in the tray	(And (In chocolate_pudding_1 wooden_tray_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE4_pick_up_the_chocolate_pudding_and_put_it_in_the_tray.bddl
libero_90	62	63	LIVING ROOM SCENE4 pick up the salad dressing and put it in the tray	pick up the salad dressing and put it in the tray	(And (In new_salad_dressing_1 wooden_tray_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE4_pick_up_the_salad_dressing_and_put_it_in_the_tray.bddl
libero_90	63	64	LIVING ROOM SCENE4 stack the left bowl on the right bowl and place them in the tray	stack the left bowl on the right bowl and place them in the tray	(And (On akita_black_bowl_1 akita_black_bowl_2) (In akita_black_bowl_2 wooden_tray_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE4_stack_the_left_bowl_on_the_right_bowl_and_place_them_in_the_tray.bddl
libero_90	64	65	LIVING ROOM SCENE4 stack the right bowl on the left bowl and place them in the tray	stack the right bowl on the left bowl and place them in the tray	(And (On akita_black_bowl_2 akita_black_bowl_1) (In akita_black_bowl_1 wooden_tray_1_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE4_stack_the_right_bowl_on_the_left_bowl_and_place_them_in_the_tray.bddl
libero_90	65	66	LIVING ROOM SCENE5 put the red mug on the left plate	put the red mug on the left plate	(And (On red_coffee_mug_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE5_put_the_red_mug_on_the_left_plate.bddl
libero_90	66	67	LIVING ROOM SCENE5 put the red mug on the right plate	put the red mug on the right plate	(And (On red_coffee_mug_1 plate_2))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE5_put_the_red_mug_on_the_right_plate.bddl
libero_90	67	68	LIVING ROOM SCENE5 put the white mug on the left plate	put the white mug on the left plate	(And (On porcelain_mug_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate.bddl
libero_90	68	69	LIVING ROOM SCENE5 put the yellow and white mug on the right plate	put the yellow and white mug on the right plate	(And (On white_yellow_mug_1 plate_2))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE5_put_the_yellow_and_white_mug_on_the_right_plate.bddl
libero_90	69	70	LIVING ROOM SCENE6 put the chocolate pudding to the left of the plate	put the chocolate pudding to the left of the plate	(And (On chocolate_pudding_1 living_room_table_plate_left_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_the_left_of_the_plate.bddl
libero_90	70	71	LIVING ROOM SCENE6 put the chocolate pudding to the right of the plate	put the chocolate pudding to the right of the plate	(And (On chocolate_pudding_1 living_room_table_plate_right_region))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE6_put_the_chocolate_pudding_to_the_right_of_the_plate.bddl
libero_90	71	72	LIVING ROOM SCENE6 put the red mug on the plate	put the red mug on the plate	(And (On red_coffee_mug_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE6_put_the_red_mug_on_the_plate.bddl
libero_90	72	73	LIVING ROOM SCENE6 put the white mug on the plate	put the white mug on the plate	(And (On porcelain_mug_1 plate_1))	third_party/libero/libero/libero/bddl_files/libero_90/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate.bddl
libero_90	73	74	STUDY SCENE1 pick up the book and place it in the front compartment of the caddy	pick up the book and place it in the front compartment of the caddy	(And (In black_book_1 desk_caddy_1_front_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy.bddl
libero_90	74	75	STUDY SCENE1 pick up the book and place it in the left compartment of the caddy	pick up the book and place it in the left compartment of the caddy	(And (In black_book_1 desk_caddy_1_left_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy.bddl
libero_90	75	76	STUDY SCENE1 pick up the book and place it in the right compartment of the caddy	pick up the book and place it in the right compartment of the caddy	(And (In black_book_1 desk_caddy_1_right_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy.bddl
libero_90	76	77	STUDY SCENE1 pick up the yellow and white mug and place it to the right of the caddy	pick up the yellow and white mug and place it to the right of the caddy	(And (On white_yellow_mug_1 study_table_desk_caddy_right_region))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE1_pick_up_the_yellow_and_white_mug_and_place_it_to_the_right_of_the_caddy.bddl
libero_90	77	78	STUDY SCENE2 pick up the book and place it in the back compartment of the caddy	pick up the book and place it in the back compartment of the caddy	(And (In black_book_1 desk_caddy_1_back_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.bddl
libero_90	78	79	STUDY SCENE2 pick up the book and place it in the front compartment of the caddy	pick up the book and place it in the front compartment of the caddy	(And (In black_book_1 desk_caddy_1_front_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_front_compartment_of_the_caddy.bddl
libero_90	79	80	STUDY SCENE2 pick up the book and place it in the left compartment of the caddy	pick up the book and place it in the left compartment of the caddy	(And (In black_book_1 desk_caddy_1_left_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_left_compartment_of_the_caddy.bddl
libero_90	80	81	STUDY SCENE2 pick up the book and place it in the right compartment of the caddy	pick up the book and place it in the right compartment of the caddy	(And (In black_book_1 desk_caddy_1_right_contain_region))	third_party/libero/libero/libero/bddl_files/libero_90/STUDY_SCENE2_pick_up_the_book_and_place_it_in_the_right_compartment_of_the_caddy.bddl
